Username,Repo_Name,Repo_Url,Stars
metafizzy,infinite-scroll,https://www.github.com/metafizzy/infinite-scroll,80200
ljianshu,Blog,https://www.github.com/ljianshu/Blog,19800
developit,unfetch,https://www.github.com/developit/unfetch,17200
jquery-form,form,https://www.github.com/jquery-form/form,16100
olifolkerd,tabulator,https://www.github.com/olifolkerd/tabulator,13900
Studio-42,elFinder,https://www.github.com/Studio-42/elFinder,13000
ded,reqwest,https://www.github.com/ded/reqwest,12400
dwyl,learn-to-send-email-via-google-script-html-no-server,https://www.github.com/dwyl/learn-to-send-email-via-google-script-html-no-server,10900
LeaVerou,bliss,https://www.github.com/LeaVerou/bliss,9100
elbywan,wretch,https://www.github.com/elbywan/wretch,8400
noelboss,featherlight,https://www.github.com/noelboss/featherlight,7700
wendux,Ajax-hook,https://www.github.com/wendux/Ajax-hook,7100
yisainan,web-interview,https://www.github.com/yisainan/web-interview,6400
craftpip,jquery-confirm,https://www.github.com/craftpip/jquery-confirm,5100
ptaoussanis,sente,https://www.github.com/ptaoussanis/sente,4900
joaomilho,Enterprise,https://www.github.com/joaomilho/Enterprise,4800
nette,tracy,https://www.github.com/nette/tracy,4700
u014427391,jeeplatform,https://www.github.com/u014427391/jeeplatform,4600
loadingio,css-spinner,https://www.github.com/loadingio/css-spinner,4600
MoOx,pjax,https://www.github.com/MoOx/pjax,4600
codingforentrepreneurs,eCommerce,https://www.github.com/codingforentrepreneurs/eCommerce,4400
danielm,uploader,https://www.github.com/danielm/uploader,4100
renderedtext,render_async,https://www.github.com/renderedtext/render_async,4100
swlib,saber,https://www.github.com/swlib/saber,3800
proyecto26,RestClient,https://www.github.com/proyecto26/RestClient,3500
k8w,tsrpc,https://www.github.com/k8w/tsrpc,3500
webcreate,infinite-ajax-scroll,https://www.github.com/webcreate/infinite-ajax-scroll,3300
opensource-socialnetwork,opensource-socialnetwork,https://www.github.com/opensource-socialnetwork/opensource-socialnetwork,3200
rapidjs,rapid.js,https://www.github.com/rapidjs/rapid.js,3100
csxiaoyaojianxian,JavaScriptStudy,https://www.github.com/csxiaoyaojianxian/JavaScriptStudy,2800
