Username,Repo_Name,Repo_Url,Stars
atom,atom,https://www.github.com/atom/atom,80200
themerdev,themer,https://www.github.com/themerdev/themer,19800
nteract,hydrogen,https://www.github.com/nteract/hydrogen,17200
shd101wyy,markdown-preview-enhanced,https://www.github.com/shd101wyy/markdown-preview-enhanced,16100
miniflux,v2,https://www.github.com/miniflux/v2,13900
atom,teletype,https://www.github.com/atom/teletype,13000
mehcode,awesome-atom,https://www.github.com/mehcode/awesome-atom,12400
mmcdole,gofeed,https://www.github.com/mmcdole/gofeed,10900
joefitzgerald,go-plus,https://www.github.com/joefitzgerald/go-plus,9100
Glavin001,atom-beautify,https://www.github.com/Glavin001/atom-beautify,8400
simplepie,simplepie,https://www.github.com/simplepie/simplepie,7700
t9md,atom-vim-mode-plus,https://www.github.com/t9md/atom-vim-mode-plus,7100
kurtmckee,feedparser,https://www.github.com/kurtmckee/feedparser,6400
ocaml,merlin,https://www.github.com/ocaml/merlin,5100
MagicStack,MagicPython,https://www.github.com/MagicStack/MagicPython,4900
atom,apm,https://www.github.com/atom/apm,4800
file-icons,atom,https://www.github.com/file-icons/atom,4700
kettanaito,atomic-layout,https://www.github.com/kettanaito/atomic-layout,4600
atom,github,https://www.github.com/atom/github,4600
nmdias,FeedKit,https://www.github.com/nmdias/FeedKit,4600
nathanbuchar,atom-one-dark-terminal,https://www.github.com/nathanbuchar/atom-one-dark-terminal,4400
danhper,atomic-chrome,https://www.github.com/danhper/atomic-chrome,4100
jesseweed,seti-ui,https://www.github.com/jesseweed/seti-ui,4100
fwcd,kotlin-language-server,https://www.github.com/fwcd/kotlin-language-server,3800
prettier,prettier-atom,https://www.github.com/prettier/prettier-atom,3500
raphamorim,lucario,https://www.github.com/raphamorim/lucario,3500
jpmonette,feed,https://www.github.com/jpmonette/feed,3300
atom-community,atom-script,https://www.github.com/atom-community/atom-script,3200
jasonmunro,cypht,https://www.github.com/jasonmunro/cypht,3100
jekyll,jekyll-feed,https://www.github.com/jekyll/jekyll-feed,2800
